Est: 50, Depth: 3, LR: 0.01 ,Precision: 0.765 , Recall: 0.557 , Accuracy: 0.557
Est: 50, Depth: 3, LR: 0.1 ,Precision: 0.902 , Recall: 0.899 , Accuracy: 0.899
Est: 50, Depth: 3, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 50, Depth: 7, LR: 0.01 ,Precision: 0.749 , Recall: 0.672 , Accuracy: 0.672
Est: 50, Depth: 7, LR: 0.1 ,Precision: 0.951 , Recall: 0.95 , Accuracy: 0.95
Est: 50, Depth: 7, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 50, Depth: 11, LR: 0.01 ,Precision: 0.813 , Recall: 0.77 , Accuracy: 0.77
Est: 50, Depth: 11, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 50, Depth: 11, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 50, Depth: 15, LR: 0.01 ,Precision: 0.834 , Recall: 0.807 , Accuracy: 0.807
Est: 50, Depth: 15, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 50, Depth: 15, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 3, LR: 0.01 ,Precision: 0.795 , Recall: 0.664 , Accuracy: 0.664
Est: 100, Depth: 3, LR: 0.1 ,Precision: 0.957 , Recall: 0.955 , Accuracy: 0.955
Est: 100, Depth: 3, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 7, LR: 0.01 ,Precision: 0.834 , Recall: 0.807 , Accuracy: 0.807
Est: 100, Depth: 7, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 7, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 11, LR: 0.01 ,Precision: 0.877 , Recall: 0.868 , Accuracy: 0.868
Est: 100, Depth: 11, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 11, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 15, LR: 0.01 ,Precision: 0.909 , Recall: 0.908 , Accuracy: 0.908
Est: 100, Depth: 15, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 100, Depth: 15, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 3, LR: 0.01 ,Precision: 0.769 , Recall: 0.706 , Accuracy: 0.706
Est: 150, Depth: 3, LR: 0.1 ,Precision: 0.951 , Recall: 0.95 , Accuracy: 0.95
Est: 150, Depth: 3, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 7, LR: 0.01 ,Precision: 0.877 , Recall: 0.868 , Accuracy: 0.868
Est: 150, Depth: 7, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 7, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 11, LR: 0.01 ,Precision: 0.919 , Recall: 0.919 , Accuracy: 0.919
Est: 150, Depth: 11, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 11, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 15, LR: 0.01 ,Precision: 0.947 , Recall: 0.947 , Accuracy: 0.947
Est: 150, Depth: 15, LR: 0.1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
Est: 150, Depth: 15, LR: 1 ,Precision: 0.943 , Recall: 0.938 , Accuracy: 0.938
